date,REF_DATE,GEO,val_norm
1951-07-01,1951-07,British Columbia,1168000
1951-10-01,1951-10,British Columbia,1179000
1952-01-01,1952-01,British Columbia,1189000
1952-04-01,1952-04,British Columbia,1198000
1952-07-01,1952-07,British Columbia,1209000
1952-10-01,1952-10,British Columbia,1222000
1953-01-01,1953-01,British Columbia,1233000
1953-04-01,1953-04,British Columbia,1242000
1953-07-01,1953-07,British Columbia,1253000
1953-10-01,1953-10,British Columbia,1265000
1954-01-01,1954-01,British Columbia,1278000
1954-04-01,1954-04,British Columbia,1288000
1954-07-01,1954-07,British Columbia,1299000
1954-10-01,1954-10,British Columbia,1311000
1955-01-01,1955-01,British Columbia,1323000
1955-04-01,1955-04,British Columbia,1334000
1955-07-01,1955-07,British Columbia,1347000
1955-10-01,1955-10,British Columbia,1362000
1956-01-01,1956-01,British Columbia,1377000
1956-04-01,1956-04,British Columbia,1388000
1956-07-01,1956-07,British Columbia,1405000
1956-10-01,1956-10,British Columbia,1426000
1957-01-01,1957-01,British Columbia,1449000
1957-04-01,1957-04,British Columbia,1468000
1957-07-01,1957-07,British Columbia,1490000
1957-10-01,1957-10,British Columbia,1511000
1958-01-01,1958-01,British Columbia,1524000
1958-04-01,1958-04,British Columbia,1532000
1958-07-01,1958-07,British Columbia,1540000
1958-10-01,1958-10,British Columbia,1548000
1959-01-01,1959-01,British Columbia,1556000
1959-04-01,1959-04,British Columbia,1562000
1959-07-01,1959-07,British Columbia,1570000
1959-10-01,1959-10,British Columbia,1580000
1960-01-01,1960-01,British Columbia,1589000
1960-04-01,1960-04,British Columbia,1596000
1960-07-01,1960-07,British Columbia,1605000
1960-10-01,1960-10,British Columbia,1614000
1961-01-01,1961-01,British Columbia,1621000
1961-04-01,1961-04,British Columbia,1626000
1961-07-01,1961-07,British Columbia,1632000
1961-10-01,1961-10,British Columbia,1640000
1962-01-01,1962-01,British Columbia,1648000
1962-04-01,1962-04,British Columbia,1655000
1962-07-01,1962-07,British Columbia,1663000
1962-10-01,1962-10,British Columbia,1674000
1963-01-01,1963-01,British Columbia,1686000
1963-04-01,1963-04,British Columbia,1694000
1963-07-01,1963-07,British Columbia,1702000
1963-10-01,1963-10,British Columbia,1716000
1964-01-01,1964-01,British Columbia,1728000
1964-04-01,1964-04,British Columbia,1737000
1964-07-01,1964-07,British Columbia,1750000
1964-10-01,1964-10,British Columbia,1765000
1965-01-01,1965-01,British Columbia,1779000
1965-04-01,1965-04,British Columbia,1790000
1965-07-01,1965-07,British Columbia,1804000
1965-10-01,1965-10,British Columbia,1827000
1966-01-01,1966-01,British Columbia,1848000
1966-04-01,1966-04,British Columbia,1862000
1966-07-01,1966-07,British Columbia,1880000
1966-10-01,1966-10,British Columbia,1905000
1967-01-01,1967-01,British Columbia,1926000
1967-04-01,1967-04,British Columbia,1937000
1967-07-01,1967-07,British Columbia,1950000
1967-10-01,1967-10,British Columbia,1970000
1968-01-01,1968-01,British Columbia,1988000
1968-04-01,1968-04,British Columbia,1996000
1968-07-01,1968-07,British Columbia,2006000
1968-10-01,1968-10,British Columbia,2023000
1969-01-01,1969-01,British Columbia,2042000
1969-04-01,1969-04,British Columbia,2052000
1969-07-01,1969-07,British Columbia,2065000
1969-10-01,1969-10,British Columbia,2082000
1970-01-01,1970-01,British Columbia,2107000
1970-04-01,1970-04,British Columbia,2118000
1970-07-01,1970-07,British Columbia,2134000
1970-10-01,1970-10,British Columbia,2152000
1971-01-01,1971-01,British Columbia,2168000
1971-04-01,1971-04,British Columbia,2178000
1971-07-01,1971-07,British Columbia,2240470
1971-10-01,1971-10,British Columbia,2258651
1972-01-01,1972-01,British Columbia,2278085
1972-04-01,1972-04,British Columbia,2290667
1972-07-01,1972-07,British Columbia,2302086
1972-10-01,1972-10,British Columbia,2318552
1973-01-01,1973-01,British Columbia,2338148
1973-04-01,1973-04,British Columbia,2350837
1973-07-01,1973-07,British Columbia,2367271
1973-10-01,1973-10,British Columbia,2386932
1974-01-01,1974-01,British Columbia,2409913
1974-04-01,1974-04,British Columbia,2424995
1974-07-01,1974-07,British Columbia,2442578
1974-10-01,1974-10,British Columbia,2461396
1975-01-01,1975-01,British Columbia,2479085
1975-04-01,1975-04,British Columbia,2489116
1975-07-01,1975-07,British Columbia,2499564
1975-10-01,1975-10,British Columbia,2510751
1976-01-01,1976-01,British Columbia,2520425
1976-04-01,1976-04,British Columbia,2525812
1976-07-01,1976-07,British Columbia,2533899
1976-10-01,1976-10,British Columbia,2546813
1977-01-01,1977-01,British Columbia,2554051
1977-04-01,1977-04,British Columbia,2560711
1977-07-01,1977-07,British Columbia,2570315
1977-10-01,1977-10,British Columbia,2586668
1978-01-01,1978-01,British Columbia,2595858
1978-04-01,1978-04,British Columbia,2603502
1978-07-01,1978-07,British Columbia,2615162
1978-10-01,1978-10,British Columbia,2632020
1979-01-01,1979-01,British Columbia,2641872
1979-04-01,1979-04,British Columbia,2650940
1979-07-01,1979-07,British Columbia,2665238
1979-10-01,1979-10,British Columbia,2691121
1980-01-01,1980-01,British Columbia,2707690
1980-04-01,1980-04,British Columbia,2722921
1980-07-01,1980-07,British Columbia,2745861
1980-10-01,1980-10,British Columbia,2773680
1981-01-01,1981-01,British Columbia,2790754
1981-04-01,1981-04,British Columbia,2805394
1981-07-01,1981-07,British Columbia,2826558
1981-10-01,1981-10,British Columbia,2845212
1982-01-01,1982-01,British Columbia,2857268
1982-04-01,1982-04,British Columbia,2865557
1982-07-01,1982-07,British Columbia,2876513
1982-10-01,1982-10,British Columbia,2885875
1983-01-01,1983-01,British Columbia,2891441
1983-04-01,1983-04,British Columbia,2898574
1983-07-01,1983-07,British Columbia,2907502
1983-10-01,1983-10,British Columbia,2919166
1984-01-01,1984-01,British Columbia,2927258
1984-04-01,1984-04,British Columbia,2935384
1984-07-01,1984-07,British Columbia,2947181
1984-10-01,1984-10,British Columbia,2956332
1985-01-01,1985-01,British Columbia,2962108
1985-04-01,1985-04,British Columbia,2967584
1985-07-01,1985-07,British Columbia,2975131
1985-10-01,1985-10,British Columbia,2984237
1986-01-01,1986-01,British Columbia,2988964
1986-04-01,1986-04,British Columbia,2994267
1986-07-01,1986-07,British Columbia,3003621
1986-10-01,1986-10,British Columbia,3015876
1987-01-01,1987-01,British Columbia,3021900
1987-04-01,1987-04,British Columbia,3032807
1987-07-01,1987-07,British Columbia,3048651
1987-10-01,1987-10,British Columbia,3068995
1988-01-01,1988-01,British Columbia,3081368
1988-04-01,1988-04,British Columbia,3094274
1988-07-01,1988-07,British Columbia,3114761
1988-10-01,1988-10,British Columbia,3141854
1989-01-01,1989-01,British Columbia,3158092
1989-04-01,1989-04,British Columbia,3174623
1989-07-01,1989-07,British Columbia,3196725
1989-10-01,1989-10,British Columbia,3229220
1990-01-01,1990-01,British Columbia,3247419
1990-04-01,1990-04,British Columbia,3266888
1990-07-01,1990-07,British Columbia,3292111
1990-10-01,1990-10,British Columbia,3322896
1991-01-01,1991-01,British Columbia,3339935
1991-04-01,1991-04,British Columbia,3352585
1991-07-01,1991-07,British Columbia,3373787
1991-10-01,1991-10,British Columbia,3404049
1992-01-01,1992-01,British Columbia,3423217
1992-04-01,1992-04,British Columbia,3443237
1992-07-01,1992-07,British Columbia,3468802
1992-10-01,1992-10,British Columbia,3502209
1993-01-01,1993-01,British Columbia,3522509
1993-04-01,1993-04,British Columbia,3541936
1993-07-01,1993-07,British Columbia,3567772
1993-10-01,1993-10,British Columbia,3601746
1994-01-01,1994-01,British Columbia,3623717
1994-04-01,1994-04,British Columbia,3646632
1994-07-01,1994-07,British Columbia,3676075
1994-10-01,1994-10,British Columbia,3711468
1995-01-01,1995-01,British Columbia,3730564
1995-04-01,1995-04,British Columbia,3751377
1995-07-01,1995-07,British Columbia,3777390
1995-10-01,1995-10,British Columbia,3805461
1996-01-01,1996-01,British Columbia,3826739
1996-04-01,1996-04,British Columbia,3849847
1996-07-01,1996-07,British Columbia,3874317
1996-10-01,1996-10,British Columbia,3899256
1997-01-01,1997-01,British Columbia,3914490
1997-04-01,1997-04,British Columbia,3931056
1997-07-01,1997-07,British Columbia,3948583
1997-10-01,1997-10,British Columbia,3964677
1998-01-01,1998-01,British Columbia,3972821
1998-04-01,1998-04,British Columbia,3977912
1998-07-01,1998-07,British Columbia,3983113
1998-10-01,1998-10,British Columbia,3990451
1999-01-01,1999-01,British Columbia,3995643
1999-04-01,1999-04,British Columbia,4002433
1999-07-01,1999-07,British Columbia,4011375
1999-10-01,1999-10,British Columbia,4021600
2000-01-01,2000-01,British Columbia,4026664
2000-04-01,2000-04,British Columbia,4033319
2000-07-01,2000-07,British Columbia,4039230
2000-10-01,2000-10,British Columbia,4049297
2001-01-01,2001-01,British Columbia,4055229
2001-04-01,2001-04,British Columbia,4066132
2001-07-01,2001-07,British Columbia,4076896
2001-10-01,2001-10,British Columbia,4085595
2002-01-01,2002-01,British Columbia,4087124
2002-04-01,2002-04,British Columbia,4094170
2002-07-01,2002-07,British Columbia,4100504
2002-10-01,2002-10,British Columbia,4108351
2003-01-01,2003-01,British Columbia,4110197
2003-04-01,2003-04,British Columbia,4114884
2003-07-01,2003-07,British Columbia,4124447
2003-10-01,2003-10,British Columbia,4134598
2004-01-01,2004-01,British Columbia,4139895
2004-04-01,2004-04,British Columbia,4145916
2004-07-01,2004-07,British Columbia,4155630
2004-10-01,2004-10,British Columbia,4167802
2005-01-01,2005-01,British Columbia,4174017
2005-04-01,2005-04,British Columbia,4182971
2005-07-01,2005-07,British Columbia,4196076
2005-10-01,2005-10,British Columbia,4212674
2006-01-01,2006-01,British Columbia,4217956
2006-04-01,2006-04,British Columbia,4227980
2006-07-01,2006-07,British Columbia,4241793
2006-10-01,2006-10,British Columbia,4258653
2007-01-01,2007-01,British Columbia,4265328
2007-04-01,2007-04,British Columbia,4276745
2007-07-01,2007-07,British Columbia,4290987
2007-10-01,2007-10,British Columbia,4312048
2008-01-01,2008-01,British Columbia,4319657
2008-04-01,2008-04,British Columbia,4331706
2008-07-01,2008-07,British Columbia,4349338
2008-10-01,2008-10,British Columbia,4371128
2009-01-01,2009-01,British Columbia,4381832
2009-04-01,2009-04,British Columbia,4395197
2009-07-01,2009-07,British Columbia,4410513
2009-10-01,2009-10,British Columbia,4431587
2010-01-01,2010-01,British Columbia,4441345
2010-04-01,2010-04,British Columbia,4453756
2010-07-01,2010-07,British Columbia,4465557
2010-10-01,2010-10,British Columbia,4483613
2011-01-01,2011-01,British Columbia,4482262
2011-04-01,2011-04,British Columbia,4488509
2011-07-01,2011-07,British Columbia,4503819
2011-10-01,2011-10,British Columbia,4529186
2012-01-01,2012-01,British Columbia,4539775
2012-04-01,2012-04,British Columbia,4552320
2012-07-01,2012-07,British Columbia,4570866
2012-10-01,2012-10,British Columbia,4594846
2013-01-01,2013-01,British Columbia,4602742
2013-04-01,2013-04,British Columbia,4616335
2013-07-01,2013-07,British Columbia,4634943
2013-10-01,2013-10,British Columbia,4663919
2014-01-01,2014-01,British Columbia,4672025
2014-04-01,2014-04,British Columbia,4689892
2014-07-01,2014-07,British Columbia,4712691
2014-10-01,2014-10,British Columbia,4743505
2015-01-01,2015-01,British Columbia,4751439
2015-04-01,2015-04,British Columbia,4763917
2015-07-01,2015-07,British Columbia,4765472
2015-10-01,2015-10,British Columbia,4795547
2016-01-01,2016-01,British Columbia,4807562
2016-04-01,2016-04,British Columbia,4831042
2016-07-01,2016-07,British Columbia,4861269
2016-10-01,2016-10,British Columbia,4886638
2017-01-01,2017-01,British Columbia,4894147
2017-04-01,2017-04,British Columbia,4908971
2017-07-01,2017-07,British Columbia,4934202
2017-10-01,2017-10,British Columbia,4962706
2018-01-01,2018-01,British Columbia,4974712
2018-04-01,2018-04,British Columbia,4991716
2018-07-01,2018-07,British Columbia,5020979
2018-10-01,2018-10,British Columbia,5052131
2019-01-01,2019-01,British Columbia,5061132
2019-04-01,2019-04,British Columbia,5080515
2019-07-01,2019-07,British Columbia,5111022
2019-10-01,2019-10,British Columbia,5148047
2020-01-01,2020-01,British Columbia,5157053
2020-04-01,2020-04,British Columbia,5169535
2020-07-01,2020-07,British Columbia,5176101
2020-10-01,2020-10,British Columbia,5173896
2021-01-01,2021-01,British Columbia,5180015
2021-04-01,2021-04,British Columbia,5200393
2021-07-01,2021-07,British Columbia,5226665
2021-10-01,2021-10,British Columbia,5269491
2022-01-01,2022-01,British Columbia,5287664
2022-04-01,2022-04,British Columbia,5313881
2022-07-01,2022-07,British Columbia,5358845
2022-10-01,2022-10,British Columbia,5406059
2023-01-01,2023-01,British Columbia,5432939
2023-04-01,2023-04,British Columbia,5466566
2023-07-01,2023-07,British Columbia,5515296
2023-10-01,2023-10,British Columbia,5572694
2024-01-01,2024-01,British Columbia,5601024
2024-04-01,2024-04,British Columbia,5638043
2024-07-01,2024-07,British Columbia,5671114
2024-10-01,2024-10,British Columbia,5696852
2025-01-01,2025-01,British Columbia,5699989
2025-04-01,2025-04,British Columbia,5699690
2025-07-01,2025-07,British Columbia,5697536
2025-10-01,2025-10,British Columbia,5683201
2026-01-01,2026-01,British Columbia,5658528
